package_id,domain_key,primary_backend_owner,backend_collaborators,frontend_area,risk_profile
PKG-101,design_system,shared,administration,platform,high
PKG-102,accessibility,shared,community,platform,high
PKG-103,mobile,shared,identity|community,platform,high
PKG-104,security,identity,operations|administration|shared,account,critical
PKG-105,privacy,identity,community|administration,account,critical
PKG-106,analytics,administration,community|shared,administration,high
PKG-107,moderation,community,administration,moderation,critical
PKG-108,trust_integrity,community,identity|administration,moderation,critical
PKG-109,i18n,shared,community,platform,high
PKG-110,onboarding,identity,community,account,high
PKG-111,safety_models,community,operations,community,critical
PKG-112,child_safety,identity,community|administration,account,critical
PKG-113,quality,operations,community,operations,critical
PKG-114,materials,operations,community,operations,high
PKG-115,local_manufacturing,operations,community|finance,manufacturing,critical
PKG-116,assistive,community,operations,impact,critical
PKG-117,humanitarian,community,operations|administration,impact,critical
PKG-118,education,community,identity,learning,high
PKG-119,schools,community,identity|operations,learning,critical
PKG-120,repair,community,operations,impact,high
PKG-121,sustainability,community,operations,impact,high
PKG-122,identity,identity,community,account,high
PKG-123,social_graph,community,identity,community,high
PKG-124,communities,community,identity|administration,community,high
PKG-125,publishing,community,identity,community,high
PKG-126,knowledge,community,administration,learning,high
PKG-127,media,community,integrations,community,high
PKG-128,models,community,operations|integrations,projects,high
PKG-129,viewer,community,shared,projects,high
PKG-130,parametric,community,operations|integrations,projects,critical
PKG-131,slicing,operations,community|integrations,projects,critical
PKG-132,print_workflow,operations,community|integrations,operations,critical
PKG-133,maintenance_network,operations,community,operations,critical
PKG-134,farm,operations,identity|community,manufacturing,critical
PKG-135,collaboration,community,identity,projects,high
PKG-136,messaging,community,identity|shared,communications,critical
PKG-137,events,community,identity|administration,community,high
PKG-138,feed,community,administration,community,critical
PKG-139,search,community,shared,discovery,high
PKG-140,recommendations,community,administration,discovery,critical
PKG-141,vision_ai,operations,administration|community,operations,critical
PKG-142,integrations,integrations,community|operations,integrations,critical
PKG-143,developer,integrations,identity|shared,integrations,critical
PKG-144,creator,community,finance,creator,high
PKG-145,reputation,community,identity|administration,community,high
PKG-146,organizations,identity,community|finance,account,high
PKG-147,marketplace,finance,community|identity,commerce,critical
PKG-148,memberships,finance,community|identity,commerce,critical
PKG-149,logistics,finance,operations|community,commerce,critical
PKG-150,contests,community,finance|administration,community,high
PKG-151,crowdfunding,finance,community|identity,commerce,critical
PKG-152,open_science,community,administration|integrations,learning,high
PKG-153,ar_scan,community,operations|integrations,projects,critical
PKG-154,automation_ai,administration,operations|community|identity,platform,critical
PKG-155,future_interfaces,shared,community|operations,platform,critical
