id,capability_id,priority,status_2026_07,domain,domain_key,lens,feature,requirement,acceptance,impact,dependency
COM-0001,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,produto,catálogo validado de dispositivos assistivos imprimíveis,"Implementar catálogo validado de dispositivos assistivos imprimíveis como capacidade de domínio para Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.","Contrato, regra, permissão, persistência e rollback documentados; não duplicar capacidades existentes.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",auditoria de contrato existente
COM-0002,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,tela,catálogo validado de dispositivos assistivos imprimíveis,"Criar fluxo de interface para catálogo validado de dispositivos assistivos imprimíveis, com entrada, detalhe, criação/edição e ação principal inequívocos.","Tela separa lista, detalhe e formulário; possui loading, vazio, erro, sucesso, parcial e conflito quando aplicável.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0003,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,mobile,catálogo validado de dispositivos assistivos imprimíveis,"Adaptar catálogo validado de dispositivos assistivos imprimíveis para celular, tablet, PWA e uso em campo com conectividade instável.","Funciona a 320 px, toque, orientação retrato/paisagem e retomada após perda de rede sem ação duplicada.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0004,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,acessibilidade,catálogo validado de dispositivos assistivos imprimíveis,"Garantir acesso equivalente a catálogo validado de dispositivos assistivos imprimíveis por teclado, leitor de tela, zoom, contraste e redução de movimento.","Sem bloqueio por gesto, cor, hover, áudio ou visualização 3D; teste automatizado e manual documentado.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0005,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,confiança,catálogo validado de dispositivos assistivos imprimíveis,"Aplicar privacidade, segurança, moderação e prevenção de abuso a catálogo validado de dispositivos assistivos imprimíveis desde o desenho.","Threat model, minimização de dados, rate limit, auditoria segura, denúncia/bloqueio e retenção definidos.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0006,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,impacto,catálogo validado de dispositivos assistivos imprimíveis,"Medir resultado humano e operacional de catálogo validado de dispositivos assistivos imprimíveis, evitando métricas de vaidade e incentivos perversos.","Define baseline, indicador de sucesso, recortes de equidade, alertas de dano e revisão periódica.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0007,CAP-01-01,P0,ausente,Tecnologia assistiva e autonomia,assistive,qualidade,catálogo validado de dispositivos assistivos imprimíveis,"Validar catálogo validado de dispositivos assistivos imprimíveis com testes proporcionais ao risco, fixtures controladas e prova do fluxo real.","Cobre regra, API, permissão, falha, mobile e regressão; itens P0 exigem revisão independente e piloto controlado.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0008,CAP-01-02,P0,ausente,Tecnologia assistiva e autonomia,assistive,produto,coautoria obrigatória com usuários finais e especialistas,"Implementar coautoria obrigatória com usuários finais e especialistas como capacidade de domínio para Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.","Contrato, regra, permissão, persistência e rollback documentados; não duplicar capacidades existentes.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",auditoria de contrato existente
COM-0009,CAP-01-02,P0,ausente,Tecnologia assistiva e autonomia,assistive,tela,coautoria obrigatória com usuários finais e especialistas,"Criar fluxo de interface para coautoria obrigatória com usuários finais e especialistas, com entrada, detalhe, criação/edição e ação principal inequívocos.","Tela separa lista, detalhe e formulário; possui loading, vazio, erro, sucesso, parcial e conflito quando aplicável.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
COM-0010,CAP-01-02,P0,ausente,Tecnologia assistiva e autonomia,assistive,mobile,coautoria obrigatória com usuários finais e especialistas,"Adaptar coautoria obrigatória com usuários finais e especialistas para celular, tablet, PWA e uso em campo com conectividade instável.","Funciona a 320 px, toque, orientação retrato/paisagem e retomada após perda de rede sem ação duplicada.","Saúde, autonomia, inclusão e participação de pessoas com deficiência ou mobilidade reduzida.",produto
